System,Utterance,Source,ref1,ref2,hyp
Online-B,81,"Uvedla, že hlavními požadavky protestujících jsou vytvoření plánu na zadržování vody v krajině, razantní změna zemědělské politiky a systému dotací směrem k podpoře udržitelného zemědělství a co nejrychlejší přechod z fosilních paliv na obnovitelné zdroje energie.
","She stated that the protesters' main requirements include creation of a plan to retain water in the landscape, radical change of agriculture policy and subsidies system to support sustainable agriculture and change from fossil fuels to renewable sources of energy as quick as possible.
","She stated that the protestors' main demands are the conception of a plan for water conservation in the countryside, a drastic change to agricultural politics, a subsidies system focused towards sustainable agriculture, and a transition as soon as possible from fossil fuels to renewable energy sources.
","She said the main demands of the protesters were the creation of a plan for water retention in the landscape, a drastic change in agricultural policy and a system of subsidies to support sustainable agriculture and the fastest possible transition from fossil fuels to renewable energy sources.
"
Online-B,82,"""Vláda má hájit zájmy lidí, ne bezohledný a devastující byznys,"" řekla.
","""The government should protect people's interests, not careless and devastating business,"" she said.
","The government is supposed to protect the interests of the people, not that of callous and devastating business, she said.
","""The government has to defend the interests of the people, not the ruthless and devastating business,"" she said.
"
Online-B,83,"Na Malostranském náměstí byl umístěn stánek s peticí vyzývající představitele českého státu, aby se zasadili o snižování emisí skleníkových plynů a obnovu české půdy a krajiny.
","A stand was placed on the Lesser Town Square, with a petition calling on the Czech heads of the state to push through the decrease of emission intensity and recultivation of the Czech soil and landscape.
","A booth was set up on Malostranské Square with a petition calling upon representatives of the Czech state to commit to lowering greenhouse gas emissions as well as the rehabilitation of Czech land and countryside.
","A stand with a petition was placed on Malostranské náměstí calling on the representatives of the Czech state to work to reduce greenhouse gas emissions and restore Czech soil and landscape.
"
Online-B,84,"Přítomní lidé byli vybaveni transparenty s hesly jako ""Konec depky z řepky"" nebo ""Míň uhlí, víc čolků"".
","The participants had banners with mottos such as ""Stop feeling blue from rape"" or ""Less coal, more newts"".
","Attendees were equipped with banners with slogans such as ""The End of Depression from Rapeseed"" or ""Less Coal, More Newts"".
","The people present were equipped with banners with slogans such as ""The end of the rapeseed soup"" or ""Less coal, more newts"".
"
Online-B,85,"Z jižní Moravy do Prahy přijel Jan Škoda ze spolku Za vodu pro lidi, který protestuje proti plánu těžby štěrkopísku na Hodonínsku.
","Jan Škoda from the association Za vodu pro lidi, who protests against the project of mining sandy gravel in Hodonínsko, arrived at Prague from southern Mravia.
","Jan Škoda, representing the collective ""For water for the People"", travelled from southern Moravia to Prague to protest against plans for gravel mining in the Hodonín area.
","Jan Škoda from the For Water for People association came to Prague from South Moravia to protest against the plan to extract gravel in the Hodonín region.
"
Online-B,86,"""Ohrožuje zdroj pitné vody pro 140 000 lidí,"" řekl.
","""It is a threat to the source of drinking water for 140,000 people,"" he said.
","This threatens a drinkable water source that serves 140,000 people,"" he said.
","""It threatens a source of drinking water for 140,000 people,"" he said.
"
Online-B,87,"Dodal, že vrty představují pátý nejvydatnější zdroj pitné vody v České republice.
","He added that the water wells are the 5th largest source of drinking water in the Czech Republic.
","He added that the wells represent the fifth most productive source of drinkable water in the Czech Republic.
","He added that wells represent the fifth most abundant source of drinking water in the Czech Republic.
"
Online-B,88,"Plánovaná těžba štěrkopísku se podle něj nachází jen asi 500 metrů od vrtů a podle posudků je jisté, že kvalita vody bude ohrožena.
","The place of mining sandy gravel is, according to him, located only about 500 metres from the wells and as the expert opinions say it is sure that the quality of water will be endangered.
","According to Škoda, the planned gravel mine is to be located about 500 meters from the wells and it is understood that it will most certainly threaten the quality of the water.
","According to him, the planned gravel mining is located only about 500 meters from the wells, and according to assessments, it is certain that the water quality will be endangered.
"
Online-B,89,"Za takzvané agroekologické farmáře přijel z vesnice Valeč na Karlovarsku Vojtěch Veselý.
","Vojtěch Veselý on behalf of the so-called agroecological farmers came from a village in Karlovasko.
","Vojtěch Veselý, representing the so-called agro-ecological farmers, came from the village Valeč in the Karlovarsky region.
","Vojtěch Veselý came from the village of Valeč in the Karlovy Vary region on behalf of the so-called agroecological farmers.
"
Online-B,90,"Upozornil na klady malých farem, které se neženou za výnosy a ziskem a zásobují obyvatele přímo na místě.
","He pointed to benefits of small farms which do not prefer high revenues and profits but they supply inhabitants with water directly on the spot.
","He pointed out the advantages of small farms, which are not driven by yields and profits and are able to serve residents directly on site.
","He pointed out the advantages of small farms, which do not pursue income and profit and supply the inhabitants on the spot.
"
Online-B,91,"""Malé agroekologické farmy jsou schopné úplně normálně nakrmit celou populaci, navrch při tom nenadělají takovou zkázu na podobě venkova a životním prostředí,"" řekl.
","""Small agroecological farms are capable to feed the whole population, aditionally they do not have such impacts on country life and environment,"" he said.
","Not only are small agro-ecological farms able to fully supply the whole population, but they do not cause such devastation to the countryside and environment,' he said.
","""Small agroecological farms are able to feed the entire population in a completely normal way, and on top of that they will not do such a ruin on the shape of the countryside and the environment,"" he said.
"
Online-B,92,"Při pádu letadla na dům v Německu zemřeli tři lidé
","Three people died after plane crash in house in Germany
","A plane crashed onto a house in Germany, killing three people.
","Three people died in a plane crash on a house in Germany
"
Online-B,93,"Při pádu ultralehkého letadla na bytový dům v západním Německu dnes zemřeli tři lidé a další dva byli zraněni.
","Three people died and two other were injured after an ultralight plane crash in residential building in western Germany today.
","An ultralight plane fell onto a house in western Germany today, killing three people and injuring another two.
","Three people died and two others were injured in an ultralight plane crashing into an apartment building in West Germany.
"
Online-B,94,"Informovaly o tom místní záchranné složky, podle nichž jsou mezi mrtvými pravděpodobně dva členové posádky a jedna obyvatelka domu.
","According to the regional rescue service, who reported on the accident, there were probably two plane crew members and one woman who had lived in the house among victims.
","According to local emergency services, two of the dead were most likely flight crew members, and the third, a resident of the house.
","The local rescue services informed about it, according to which there are probably two crew members and one inhabitant of the house among the dead.
"
